name_board,creator_thread,creator_id_thread,name_thread,created_on,registration_date,total_posts,reputation,creator_post,creator_id_post,content,created_on_post,top_label_1,top_score_1,top_label_2,top_score_2,top_label_3,top_score_3
Tor,blonger,32544,Tor shrinked contribute,2020-01-09,1900-01-01 00:00:00,0.0,0.0,[deleted],37,[removed],2019-10-16,tor problems,0.2845191955566406,fraud,0.07356342673301697,arson,0.041160110384225845
Tor,blonger,32544,Tor shrinked contribute,2020-01-09,1900-01-01 00:00:00,0.0,0.0,blonger,32544,"The Torproject recently ***LINK***announced[https://blog.torproject.org/removing-end-life-relays-network]***LINK*** that they will kick out old relays which are running EOL (End-of-live) Tor versions which are not official supported anymore and which might have some unfixed security holes in them.

Doing so from time to time is necessary to provide a healthy and usable network for all of us.

***LINK***This[http://ea5faa5po25cf7fb.onion/projects/tor/ticket/31549]***LINK*** is the ticket for removing them and ***LINK***here[http://rougmnvswfsmd4dq.onion/networksize.html?start=2019-08-18&end=2019-10-16]***LINK*** you can see the drop in the number of relays and the ***LINK***drop[http://rougmnvswfsmd4dq.onion/bandwidth-flags.html?start=2019-08-18&end=2019-10-16]***LINK*** in the advertised bandwidth.

While this should not have any noticeable impact for us users it is hurting plenty from a safety perspective when 13,5% of relays are gone.
Every relay who contributes makes an attack like ***LINK***Sybil attacks[https://en.wikipedia.org/wiki/Sybil_attack]***LINK*** more difficult for the attacker.

So if you think about running a relay then this is a great moment to do it now and you can ***LINK***follow the insturctions[http://ea5faa5po25cf7fb.onion/projects/tor/wiki/TorRelayGuide]***LINK*** the Torproject published on their website.
Setting up a relay is pretty easy even for people without much experience in Linux and you can get a small VPS without bandwidth limitations for less than 5€ a month.

Exit-relays are the border to the normal internet and they could get a problem for you if someone is doing nasty stuff with them and LEA wants to look more closely and decide to kick your door down but running a Guard-relay is fine because no traffic will exit the Tor network.

Thanks for running a relay!",2019-10-30,tor problems,0.2845191955566406,fraud,0.07356342673301697,arson,0.041160110384225845
Tor,Xanitforthecash,2467,run tor node,2020-01-09,2018-03-21 00:00:00,88.0,9.0,rswz,32661,"***LINK***http://ea5faa5po25cf7fb.onion/projects/tor/wiki/TorRelayGuide[http://ea5faa5po25cf7fb.onion/projects/tor/wiki/TorRelayGuide]***LINK***


Exit relay operators should understand the potential risks associated with running an exit relay. For the majority of operators in most countries, bridges and guard/middle relays are very low risk. Exits are the ones that present some legal concerns, but operators under most circumstances will be able to handle legal matters by having an abuse response letter, running the exit from a location that isn't their home, and reading through some of the legal resources that Tor-supportive lawyers have put together.",2019-10-16,arson,0.12024683505296707,hacking,0.07154031097888947,tor problems,0.05635840445756912
Tor,Xanitforthecash,2467,run tor node,2020-01-09,2018-03-21 00:00:00,88.0,9.0,ChemistWeb,33150,if someone will do something bad from that ip you will have big problems and till you show that you are innocent you will stay in jail.,2019-10-16,arson,0.12024683505296707,hacking,0.07154031097888947,tor problems,0.05635840445756912
Tor,Xanitforthecash,2467,run tor node,2020-01-09,2018-03-21 00:00:00,88.0,9.0,Xanitforthecash,2467,"I already leave tor open for a good amount of hrs everyday, not sure if that helps anyone.",2019-10-16,arson,0.12024683505296707,hacking,0.07154031097888947,tor problems,0.05635840445756912
Tor,Xanitforthecash,2467,run tor node,2020-01-09,2018-03-21 00:00:00,88.0,9.0,Xanitforthecash,2467,I was thinking about giving some of my bandwith up and be a tor node. Do I need a powerfull system? What OSs can I have the machine running? And how much added security do I need? Am I putting myself at risk.,2019-10-30,arson,0.12024683505296707,hacking,0.07154031097888947,tor problems,0.05635840445756912
Tor,Xanitforthecash,2467,run tor node,2020-01-09,2018-03-21 00:00:00,88.0,9.0,blonger,32544,"/post/29c4345cb3dbe6259d13

You can even run a tor relay on a raspberry pi but if you would like to push really much traffic through it then you need a VPS and at best close to the authorities.
You can run Tor on all supported OS. Linux is the most common one but relying too much on one OS could be dangerous if there are security holes in it.
http://rougmnvswfsmd4dq.onion/platforms.html
What do you mean with added security? You are only putting yourslef at some risk if you decide to run an exit-relay.",2019-10-16,arson,0.12024683505296707,hacking,0.07154031097888947,tor problems,0.05635840445756912
Tor,Syndicate,33036,Tor browser,2019-11-06,1900-01-01 00:00:00,0.0,0.0,Syndicate,33036,"Tor Browser 9.0 is now available from the Tor Browser download page and also from our distribution directory.

This release features important security updates to Firefox.

Tor Browser 9.0 is the first stable release based on Firefox 68 ESR and contains a number of updates to other components as well (including Tor to 0.4.1.6 and OpenSSL to 1.1.1d for desktop versions and Tor to 0.4.1.5 for Android).

In addition to all the needed patch rebasing and toolchain updates, we made big improvements to make Tor Browser work better for you.

We want everyone in the world to be able to enjoy the privacy and freedom online Tor provides, and that's why over the past couple years, we've been working hard to boost our UX and localization efforts, with the biggest gains first visible in Tor Browser 8.0.

In Tor Browser 9.0, we continue to build upon those efforts with sleeker integration and additional localization support.

Goodbye, Onion Button
We want your experience using Tor to be fully integrated within the browser so how you use Tor is more intuitive. That's why now, rather than using the onion button that was in the toolbar, you can see your path through the Tor network and request a New Circuit through the Tor network in {i} on the URL bar.

Hello, New Identity Button
Instead of going into the onion button to request a New Identity, we've made this important feature easier to access by giving it its own button in the toolbar.

You can also request a New Identity, and a New Circuit, from within the [=] menu on the toolbar.

Torbutton and Tor Launcher Integration
Now that both extensions are tightly integrated into Tor Browser, they'll no longer be found on the about:addons page.

We redesigned the bridge and proxy configuration dialogs and include them directly into the browser's preference settings as well.

Rather than being a submenu behind the onion button, Tor Network Settings, including the ability to fetch bridges to bypass censorship where Tor is blocked, are easier to access on about:preferences#tor.

Letterboxing
Tor Browser in its default mode is starting with a content window rounded to a multiple of 200px x 100px  to prevent fingerprinting the screen dimensions. The strategy here is to put all users in a couple of buckets to make it harder to single them out. That worked so far until users started to resize their windows (e.g. by maximizing them or going into fullscreen mode). Tor Browser 9 ships with a fingerprinting defense for those scenarios as well, which is called Letterboxing, a technique developed by Mozilla and presented earlier this year. It works by adding white margins to a browser window so that the window is as close as possible to the desired size while users are still in a couple of screen size buckets that prevent singling them out with the help of screen dimensions.

Better Localization Support
If we want all people around the world to be able to use our software, then we need to make sure it's speaking their language. Since 8.0, Tor Browser has been available in 25 languages and we added 5 locales more in Tor Browser 8.5. Today, we add support for two additional languages: Macedonian (mk) and Romanian (ro), bringing the number of supported languages to 32.

We also fixed bugs in our previously shipped localized bundles (such as ar and ko).

Many thanks to everyone who helped with these, in particular to our translators.

Known Issue
As usual when preparing Tor Browser releases, we verified that the build is bit-for-bit reproducible. While we managed to get two matching builds, we found that in some occasions the builds differ (we found this happening on the Linux i686 and macOS bundles). We are still investigating the cause of this issue to fix it.",2019-10-30,hacking,0.16655434668064117,fraud,0.11005965620279312,trafficking,0.06932303309440613
Tor,Syndicate,33036,Tor browser,2019-11-06,1900-01-01 00:00:00,0.0,0.0,brapola,39669,"Since the update I haven't been able to open RSS feeds. It either presents the option to download, or presents unformatted XML, depending on the extension.

Anyone else?",2019-11-01,hacking,0.16655434668064117,fraud,0.11005965620279312,trafficking,0.06932303309440613
Tor,Syndicate,33036,UPDATED tor security guide crosspost,2019-11-06,1900-01-01 00:00:00,0.0,0.0,Syndicate,33036,"***LINK***[UPDATED] Tor Security Guide[/post/96ff0e65540f64011d50]***LINK***
														by ***LINK***/u/Syndicate[/u/Syndicate]***LINK*** • 2 weeks ago in ***LINK***/d/OpSec[/d/OpSec]***LINK***
														8 points • ***LINK***19 comments[/post/96ff0e65540f64011d50]***LINK***",2019-10-30,update site,0.40813112258911133,arson,0.048836443573236465,tor problems,0.0381246842443943
